case_id,split,category,difficulty,question,answerable,max_relevance_score,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,predicted_at_comparison_threshold,predicted_at_recommended_threshold,decision_correct_comparison,decision_correct_recommended,top_source_document,top_source_page,top_source_score
d-001,calibration,direct,easy,Router 层可以直接写业务逻辑吗？,true,0.735598,2,false,true,true,0.0,1.0,1.0,0.5,true,true,true,true,eval-backend,,0.735598
d-002,calibration,direct,easy,Router 层需要自己写 SQL 访问数据库吗？,true,0.705564,4,false,false,true,0.0,0.0,1.0,0.25,true,true,true,true,eval-backend,,0.705564
d-003,calibration,direct,easy,Schema 层用什么库来描述请求和响应的数据形状？,true,0.641887,3,false,true,true,0.0,1.0,1.0,0.333333,true,true,true,true,eval-backend,,0.641887
d-004,calibration,direct,easy,业务逻辑应该写在分层架构的哪一层？,true,0.584814,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-backend,,0.584814
d-005,calibration,direct,easy,Repository 层的主要职责是什么？,true,0.697249,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-backend,,0.697249
d-006,calibration,direct,easy,FastAPI 里用什么来声明依赖？,true,0.50084,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-backend,,0.50084
d-007,calibration,direct,medium,参数校验失败和资源冲突分别应该返回哪个 HTTP 状态码？,true,0.662705,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-backend,,0.662705
d-008,calibration,direct,easy,RAG 这个缩写指的是什么？,true,0.518091,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-rag,,0.518091
d-009,calibration,direct,medium,overlap 和 chunk size 之间必须满足什么大小关系？,true,0.565182,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-rag,,0.565182
d-010,calibration,direct,medium,相关性拒答是依据什么来判断的？,true,0.538879,2,false,true,true,0.0,1.0,1.0,0.5,true,true,true,true,eval-rag,,0.538879
d-011,calibration,direct,medium,Reranker 处于检索流程的哪个位置？,true,0.570546,2,false,true,true,0.0,1.0,1.0,0.5,true,true,true,true,eval-rag,,0.570546
d-012,test,direct,easy,数据库主键有哪些约束？,true,0.778736,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-database,,0.778736
d-013,test,direct,easy,INNER JOIN 会保留哪些行？,true,0.437686,1,true,true,true,1.0,1.0,1.0,1.0,true,false,true,false,eval-database,,0.437686
d-014,test,direct,medium,索引对读取和写入的性能分别有什么影响？,true,0.535225,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-database,,0.535225
d-015,test,direct,medium,这个项目现在使用 PostgreSQL 了吗？,true,0.730448,1,true,true,true,1.0,1.0,1.0,1.0,true,true,true,true,eval-database,,0.730448
p-001,calibration,paraphrase,medium,接口函数里堆满了分支判断和流程编排，这种写法合适吗？,true,0.592437,,false,false,false,0.0,0.0,0.0,0.0,true,true,true,true,eval-backend,,0.592437
p-002,calibration,paraphrase,medium,请求里的字段类型不对时，还会走到后面的业务代码吗？,true,0.501066,5,false,false,true,0.0,0.0,1.0,0.2,true,true,true,true,eval-backend,,0.501066
