case_id,split,category,difficulty,answerable,candidate_first_relevant_rank,candidate_hit_at_5,candidate_hit_at_10,candidate_hit_at_15,candidate_recall_at_5,candidate_recall_at_10,candidate_recall_at_15,candidate_max_retrieval_score,vector_max_retrieval_score,reranked_max_retrieval_score,vector_decision_at_comparison,reranked_decision_at_comparison,vector_decision_at_recommended,reranked_decision_at_recommended,vector_first_relevant_rank,vector_hit_at_1,vector_hit_at_3,vector_hit_at_5,vector_recall_at_1,vector_recall_at_3,vector_recall_at_5,vector_reciprocal_rank,reranked_first_relevant_rank,reranked_hit_at_1,reranked_hit_at_3,reranked_hit_at_5,reranked_recall_at_1,reranked_recall_at_3,reranked_recall_at_5,reranked_reciprocal_rank,rank_change,improved,regressed,unchanged
d-001,calibration,direct,easy,True,2,True,True,True,1.0,1.0,1.0,0.735598,0.735598,0.735598,True,True,True,True,2,False,True,True,0.0,1.0,1.0,0.5,1,True,True,True,1.0,1.0,1.0,1.0,-1,True,False,False
d-002,calibration,direct,easy,True,4,True,True,True,1.0,1.0,1.0,0.705564,0.705564,0.705564,True,True,True,True,4,False,False,True,0.0,0.0,1.0,0.25,2,False,True,True,0.0,1.0,1.0,0.5,-2,True,False,False
d-003,calibration,direct,easy,True,3,True,True,True,1.0,1.0,1.0,0.641887,0.641887,0.641887,True,True,True,True,3,False,True,True,0.0,1.0,1.0,0.333333,1,True,True,True,1.0,1.0,1.0,1.0,-2,True,False,False
d-004,calibration,direct,easy,True,1,True,True,True,1.0,1.0,1.0,0.584814,0.584814,0.584814,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,3,False,True,True,0.0,1.0,1.0,0.333333,2,False,True,False
d-005,calibration,direct,easy,True,1,True,True,True,1.0,1.0,1.0,0.697249,0.697249,0.697249,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-006,calibration,direct,easy,True,1,True,True,True,1.0,1.0,1.0,0.50084,0.50084,0.50084,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-007,calibration,direct,medium,True,1,True,True,True,1.0,1.0,1.0,0.662705,0.662705,0.662705,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,2,False,True,True,0.0,1.0,1.0,0.5,1,False,True,False
d-008,calibration,direct,easy,True,1,True,True,True,1.0,1.0,1.0,0.518091,0.518091,0.518091,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-009,calibration,direct,medium,True,1,True,True,True,1.0,1.0,1.0,0.565182,0.565182,0.565182,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-010,calibration,direct,medium,True,2,True,True,True,1.0,1.0,1.0,0.538879,0.538879,0.538879,True,True,True,True,2,False,True,True,0.0,1.0,1.0,0.5,1,True,True,True,1.0,1.0,1.0,1.0,-1,True,False,False
